text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
ㅇㅇ?,,ㅇㅇ?,2025-02-17T14:07:34+09:00,0.0272,0.9575,0.0154,1
사팔이들 우린 떠날게,사팔이들 우린 떠날게,사팔이들 우린 떠날게,2025-03-20T10:39:57+09:00,0.239,0.6009,0.1601,1
망,망,망,2024-09-10T12:12:34+09:00,0.0801,0.893,0.0269,1
감사합니다.  일보후퇴,감사합니다 일보후퇴,감사합니다. 일보후퇴,2024-10-15T09:19:02+09:00,0.1325,0.7616,0.1059,1
일부 손절,일부 손절,일부 손절,2025-01-07T17:23:37+09:00,0.4183,0.4436,0.1381,1
59200 걸어놓고 일하다 왔는데 사졌네용 ㅋㅋ,59200 걸어놓고 일하다 왔는데 사졌네용,59200 걸어놓고 일하다 왔는데 사졌네용 ㅋㅋ,2024-10-31T15:44:11+09:00,0.0776,0.8639,0.0584,1
개미형들 물타지마ㅠ지금은물탈때가아니라 코스피가 안정되면 그때보고 들어가야됨..2~3퍼올라서 불타고 물타면 못나올수있어ㅠ,개미형들 물타지마지금은물탈때가아니라 코스피가 안정되면 그때보고 들어가야됨23퍼올라서 불타고 물타면 못나올수있어,개미형들 물타지마ㅠ지금은물탈때가아니라 코스피가 안정되면 그때보고 들어가야됨..23퍼올라서 불타고 물타면 못나올수있어ㅠ,2025-01-31T12:36:11+09:00,0.2265,0.2058,0.5676,2
"역쉬 개인.기관 막 팔아째기니 이놈의 주식 힘을 못받네
언제한번 외.개.기 일심동체하여 삼전 날개 힘을 실어줄련지
비나이다 천지조물주님이시여
간절히 빕니다",역쉬 개인기관 막 팔아째기니 이놈의 주식 힘을 못받네 언제한번 외개기 일심동체하여 삼전 날개 힘을 실어줄련지 비나이다 천지조물주님이시여 간절히 빕니다,역쉬 개인.기관 막 팔아째기니 이놈의 주식 힘을 못받네 언제한번 외.개.기 일심동체하여 삼전 날개 힘을 실어줄련지 비나이다 천지조물주님이시여 간절히 빕니다,2024-08-20T17:01:32+09:00,0.2687,0.4833,0.248,1
비록 거지같은 삼전이지만 응원한다 ! 제발 탈출해보자,비록 거지같은 삼전이지만 응원한다 제발 탈출해보자,비록 거지같은 삼전이지만 응원한다 ! 제발 탈출해보자,2024-11-07T11:23:47+09:00,0.1452,0.3036,0.5512,2
내일 갭매꿀 때 구매해야겠다,내일 갭매꿀 때 구매해야겠다,내일 갭매꿀 때 구매해야겠다,2025-03-18T10:02:08+09:00,0.4338,0.2011,0.3651,0
빨간색으로 바뀐 역사적인날 입니다,빨간색으로 바뀐 역사적인날 입니다,빨간색으로 바뀐 역사적인날 입니다,2023-11-21T10:26:10+09:00,0.0896,0.7571,0.1533,1
73넘기면 날아갈거같은데,73넘기면 날아갈거같은데,73넘기면 날아갈거같은데,2024-03-12T14:09:56+09:00,0.0611,0.8322,0.1067,1
"조금씩 조금씩 김장하듯 담아놔야 맛있는 묵은지가 될것같아요ㅎㅎ 불금 고생하셨습니다~! 
월욜에도 김장하듯 담아야겠습니다👋",조금씩 조금씩 김장하듯 담아놔야 맛있는 묵은지가 될것같아요 불금 고생하셨습니다 월욜에도 김장하듯 담아야겠습니다,조금씩 조금씩 김장하듯 담아놔야 맛있는 묵은지가 될것같아요ㅎㅎ 불금 고생하셨습니다! 월욜에도 김장하듯 담아야겠습니다,2024-09-20T19:18:06+09:00,0.1259,0.681,0.1931,1
