content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
삼전 탄핵하고 뭔상관,2024-12-16 07:18:01+00:00,toss,삼성전자,8329690.0,1.3500273232309384e-42,,0.1,0.0,0.9,"질문이나 정보 전달이 아니라 혼란이나 불만을 표현하지만, 명확한 공포나 탐욕과는 거리가 있음"
기관이 멱살잡고 올렸네,2025-01-22 06:36:07+00:00,toss,삼성전자,5135404.0,1.5367443520605808e-26,,0.1,0.8,0.1,기관의 매수로 인한 상승 언급으로 탐욕 비중이 높음
외인이 매일 팔수 있는 이유  개인이 매일 사주니까  외인도 많이 떨어져 매도가 손해라고 생각하면 매도를 안할건데 개인이 파는 족족 사주니까 탈출하는거지 외인이 왜 파는지 한번이라도 생각해보길 뭐 돈많으면 상관없지 내돈아니니까,2024-10-22 00:11:01+00:00,toss,삼성전자,13107310.0,1.3042645070379633e-66,,0.6,0.1,0.3,"외인 매도와 개인 매수에 대한 비판적 분석으로 공포 비중이 높으나, 중립적인 정보 전달과 고민의 요소도 포함"
엔비디아3삼전7,2024-11-21 04:40:33+00:00,toss,삼성전자,10499138.0,1.680697696531827e-53,,0.0,0.0,1.0,"특정 감정을 나타내는 단어가 없으며, 주식 종목 코드만 언급되어 중립적"
무대책 방관중 대통령은 주식시장에 1도 관심없는듯,2024-10-22 04:17:17+00:00,toss,삼성전자,13092534.0,1.5475264295093842e-66,,0.2,0.0,0.8,"부정적인 정서가 약간 있지만, 주로 정치/경제 상황에 대한 논평으로 중립적 태도가 더 강함"
잘놀다갑니다,2024-03-20 07:47:10+00:00,toss,삼성전자,31742341.0,2.7882352268764645e-160,,0.0,0.0,1.0,"감정 표현이 뚜렷하지 않으며, 주식과 직접적인 관련이 없는 문장"
"140주 탈출했지만 
아직 100주 남았다  
항상 응원해",2024-12-12 04:18:22+00:00,toss,삼성전자,8686069.0,2.182646373152957e-44,,0.2,0.1,0.7,"탈출 언급으로 약간의 공포가 있으나, 남은 주식과 응원의 언급으로 중립적 감정이 더 높음"
,2024-12-01 07:26:16+00:00,toss,삼성전자,9625195.0,4.153492926611504e-49,,0.0,0.0,1.0,분석할 수 있는 내용이 없음
야미,2023-10-17 08:51:19+00:00,toss,삼성전자,45130492.0,1.4093924179138088e-227,,0.0,0.0,1.0,감정 표현이 불분명하여 중립으로 분류
"삼전보단 내가 먼저 망하는게 빠름

그래서 전재산 30퍼 분할로 들어감

당분간 난 망할일 없을듯",2024-10-23 05:03:48+00:00,toss,삼성전자,13003343.0,4.3447188280587255e-66,,0.2,0.6,0.2,자신감과 공격적 투자 언급으로 탐욕 비중이 높음
아직 바닥 아니여,2024-10-23 04:58:08+00:00,toss,삼성전자,13003683.0,4.32765515127701e-66,,0.2,0.1,0.7,"부정적 확신이 없으며, 상황에 대한 불확실성 표현으로 중립 비중이 높음"
쭉쭉,2024-04-25 05:33:12+00:00,toss,삼성전자,28639979.0,1.0952853963190569e-144,,0.0,0.9,0.1,짧지만 긍정적인 기대감 표현으로 탐욕 비중이 높음
매일 사자,2024-10-21 00:10:12+00:00,toss,삼성전자,13193759.0,4.795400594792961e-67,,0.0,0.8,0.2,"지속적인 매수 의사 표현으로 탐욕 비중이 높으나, 구체적인 투자 결과나 감정이 언급되지 않아 일부 중립적"
삼전 화이팅,2024-05-27 06:05:21+00:00,toss,삼성전자,25873250.0,8.843963582143666e-131,,0.0,0.8,0.2,응원과 긍정적 기대감으로 탐욕 비중이 높음
"삼성은 방산주입니다
미국에 투자받고 공장까지 짓고 있습니다

모든 무기에 반도체가 들어가고 
삼성이 잘하는 분야가 있겠죠
고수분들은 아실테지만요",2024-04-19 02:37:38+00:00,toss,삼성전자,29168913.0,2.403314792346034e-147,,0.0,0.3,0.7,"정보 전달과 고수분들에 대한 언급으로 중립 비중이 높으나, 삼성의 성장 가능성에 대한 기대감으로 탐욕 비중도 존재"
이름 삼성으로 지은 김에 삼만전자로 가자,2024-11-13 00:18:33+00:00,toss,삼성전자,11206058.0,4.7001993856278896e-57,,0.0,0.9,0.1,긍정적 기대감과 자신감 표현으로 탐욕 비중이 높음
애매에 하네 이거 HH 작품인가 그냥 HH랑 그 라인 쳐내고 기술인력으로 도배하면 살아날텐데 삼성이 이렇게 사라지려나,2024-11-16 00:30:09+00:00,toss,삼성전자,10946162.0,9.516959265057794e-56,,0.25,0.1,0.65,"주로 회사 전략에 대한 고민과 제안으로 중립적인 태도가 많으나, 부정적인 가능성을 언급하여 약간의 공포가 포함됨"
계속 상승하라,2024-05-27 06:37:59+00:00,toss,삼성전자,25871292.0,9.046674053104734e-131,,0.0,0.9,0.1,상승에 대한 기대감으로 탐욕 비중이 높음
2까지 떨어질 일이야,2024-03-15 05:12:32+00:00,toss,삼성전자,32183619.0,1.687409963296653e-162,,0.8,0.0,0.2,하락 예상으로 인한 공포 비중이 높음
"외상거래 조심하세요
체크 누르면 내가 원화가 남아있어도 증거금으로 먼저 써지면서 아주 복잡해져요
저번주에 이거땜에 금욜 밤까지 통화 계속 주고 받았네요
동의 누르고 체크를 안한상태에서 사도 동의를 했기때문에 그렇다고 하는 등 죄송하다고는 하지만 곤란해요 

결론  꼭 쓸거아니면 외상거래 동의도 누르지마십쇼",2024-11-04 00:29:31+00:00,toss,삼성전자,11983000.0,5.8448506509540136e-61,,0.6,0.0,0.4,"경고와 주의 권고로 공포 비중이 높으나, 정보 전달의 성격도 포함"
5만전자 가자,2024-05-29 04:36:47+00:00,toss,삼성전자,25705764.0,6.145041045918153e-130,,0.0,0.9,0.1,흥분과 자신감을 나타내는 표현으로 탐욕 비중이 높음
환불 되나요,2024-11-13 01:50:07+00:00,toss,삼성전자,11200564.0,5.008782608496023e-57,,0.0,0.0,1.0,질문 형태로 감정이 뚜렷하지 않음
나도 소액주주디만 이 주식이 우리나라 1등 시총이라니  어이가없다,2024-11-18 01:05:17+00:00,toss,삼성전자,10771254.0,7.205815785864315e-55,,0.1,0.1,0.8,감정 표현보다는 의아함과 중립적인 관점의 표현이 더 많음
잘부탁79600입니다,2024-03-26 00:42:40+00:00,toss,삼성전자,31249411.0,8.376641075877311e-158,,0.0,0.0,1.0,감정이 뚜렷하지 않고 구체적인 정보나 감정 표현이 없음
6500,2024-10-22 01:27:14+00:00,toss,삼성전자,13102737.0,1.3751564775469426e-66,,0.0,0.0,1.0,감정이나 행동을 나타내는 단어가 없어 중립적
주식 접어야겠다 팔면 오르고,2024-08-07 01:55:12+00:00,toss,삼성전자,19667459.0,1.38167549786134e-99,,0.8,0.0,0.2,손실과 후회의 표현으로 공포 비중이 높음
8300원에서 입벌리고 있을게요,2024-07-12 00:27:42+00:00,toss,삼성전자,21919109.0,6.6429365593358564e-111,,0.1,0.6,0.3,"기대감과 흥분을 나타내는 표현으로 탐욕 비중이 높으나, 구체적인 행동이나 결과 언급이 없어 중립적 요소도 일부 포함"
쓱 미cc피,2024-12-19 06:52:04+00:00,toss,삼성전자,8072047.0,2.66317469457968e-41,,0.8,0.0,0.2,비속어 사용과 함께 부정적인 감정 표현으로 공포 비중이 높음
