content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
밸류업이라는 걸 해보지 않을래,2024-10-10 00:32:56+00:00,toss,삼성전자,14142795.0,8.136578428169157e-72,,0.0,0.6,0.4,"밸류업 제안으로 탐욕 비중이 높으나, 시도 제안으로 중립적 요소도 포함"
아직아님,2024-09-13 03:20:08+00:00,toss,삼성전자,16465563.0,1.7175809649581082e-83,,0.0,0.0,1.0,"감정 표현이 없으며, 결정을 미루는 중립적 표현"
미쳤나,2024-04-02 02:50:59+00:00,toss,삼성전자,30636912.0,1.0042243296262096e-154,,0.2,0.1,0.7,감정의 방향성이 명확하지 않아 중립 비중이 높음
"이번주 6만 터치합니다
올말까지 65전후 횡보후 내년에 7만전자 갈듯",2024-11-18 23:51:48+00:00,toss,삼성전자,10689263.0,1.861296452546243e-54,,0.0,0.8,0.2,"기대감과 자신감 표현으로 탐욕 비중이 높으며, 일부 중립적 전망 포함"
와 십만전자가면 뭐사지,2025-01-08 04:22:45+00:00,toss,삼성전자,6353006.0,1.1648134422331527e-32,,0.0,0.6,0.4,기대감과 고민이 섞인 발언으로 탐욕과 중립의 비중이 있음
행님들 장투 성공을  기원하겠습니다,2024-11-15 06:40:40+00:00,toss,삼성전자,11010331.0,4.528445091181849e-56,,0.0,0.3,0.7,"성공을 기원하는 긍정적인 메시지이지만, 구체적인 탐욕이나 공포를 직접적으로 표현하지 않아 중립적 비중이 높음"
오늘도 그래프가 지저분하네  마지막까지 이쁘지가 못해,2025-01-14 06:31:37+00:00,toss,삼성전자,5826874.0,5.1391181239190295e-30,,0.6,0.1,0.3,"그래프의 부정적 평가로 공포 비중이 높으나, 강한 부정 감정 표현은 없어 중립 비중도 고려됨"
아월급날 좀 남았는데 좀있다가지,2025-01-08 04:24:42+00:00,toss,삼성전자,6352889.0,1.1663918622501823e-32,,0.0,0.0,1.0,구체적인 감정 표현 없이 개인의 상황을 언급함으로 중립 비중이 높음
"주식을 떠나서 잘 돌아가고 있다고 생각하는  국민이 몇명 일까요
점점 망해가는 대한민국이 느껴지는게 저만 그런건지",2024-09-23 11:09:41+00:00,toss,삼성전자,15573390.0,5.241736843443885e-79,,0.8,0.0,0.2,국가 경제에 대한 부정적인 인식과 망해가는 언급으로 공포 비중이 높음
얘는 영업이익 사상최고 찍을때도 떨어지는 애임 사이클이 올라가면 영업이익 적자여도 다시 올라가겠지 단기조정이면 더 싸게 살 수 있을지도 모르니 그것만 좀 봐야할듯,2024-01-09 05:00:17+00:00,toss,삼성전자,37886754.0,3.631535420285425e-191,,0.3,0.2,0.5,"부정적인 면과 향후 기대감, 그리고 관망하는 태도가 혼합되어 있음"
그만,2024-08-02 06:21:28+00:00,toss,삼성전자,20083483.0,1.1200512968209763e-101,,0.1,0.0,0.9,"짧은 표현이지만, 감정 표현이 뚜렷하지 않아 중립적 해석이 가능함"
"바닥권 신호  더블바텀 삼천
상승추세 신호 20일 최고점 돌파 골든크로스 저항돌파 등

차트 신호 들어오는 거 보고 사도 안늦음

삼전은 지금 혁신이 필요한데 계속 평이하게 경영하고 있고 대외사정은 더 어려워지고 있음 

지금부터 무리해서 담을 필요는 별로 없음 꼭 인텔 옛날 보는 느낌",2024-12-04 01:06:14+00:00,toss,삼성전자,9388797.0,6.407393252026717e-48,,0.3,0.4,0.3,"상승추세와 긍정적 차트 신호 언급으로 탐욕 비중이 높으나, 경영 및 대외사정에 대한 우려로 공포도 존재. 중립적 관점에서의 분석도 포함됨."
"빼빼로 줍기 성공하면
상금 11원을 드려요

httpstossimmTd4V6QB",2024-11-11 03:16:36+00:00,toss,삼성전자,11368175.0,7.198234996659584e-58,,0.0,0.0,1.0,"감정과 관련된 내용이 없으며, 정보 전달의 성격이 강함"
"처음에십마십만 했던놈들 다 어디간겨

물을물을 허벌라게탔네",2024-09-26 08:36:39+00:00,toss,삼성전자,15323372.0,9.466835216902847e-78,,0.8,0.0,0.2,손실과 부정적 상황 언급으로 공포 비중이 높음
다들 잔치분위기이길래,2024-11-15 08:13:06+00:00,toss,삼성전자,11004785.0,4.8286573536372355e-56,,0.0,0.8,0.2,"잔치분위기 언급으로 탐욕 비중이 높으나, 확실한 결정이나 행동을 언급하지 않아 중립적 요소도 일부 포함"
한달이라니다 죽어버려,2024-09-25 06:14:21+00:00,toss,삼성전자,15418310.0,3.1549581034725404e-78,,0.8,0.0,0.2,비속어 사용과 손실에 대한 불만으로 공포 비중이 높음
줍줍,2024-11-15 00:08:46+00:00,toss,삼성전자,11033845.0,3.4494881434358416e-56,,0.1,0.7,0.2,저가 매수 기회를 포착하려는 탐욕적 심리 반영
재미 투표,2025-02-21 05:01:07+00:00,toss,삼성전자,2549104.0,1.5373923321923153e-13,,0.0,0.0,1.0,"감정이 뚜렷하지 않고, 특정한 정보나 의견을 요구하는 내용 없음"
파는사람이 있어야 올라가요 많이들 파세요,2024-06-13 06:18:53+00:00,toss,삼성전자,24403638.0,2.156426706712236e-123,,0.1,0.6,0.3,"판매를 유도하는 말로 탐욕을 자극하려는 의도가 있으나, 중립적인 관점에서의 조언 또한 포함"
평단만 오면 다시는 국장을 하지 않겠습니다 한벙만 봦 십쇼,2024-12-17 06:32:15+00:00,toss,삼성전자,8246036.0,3.554955068686007e-42,,0.8,0.05,0.15,손실 회피 및 다시는 투자하지 않겠다는 결심으로 공포 비중이 높음
젠슨황 이빨 값이 딱 하루네,2025-01-09 06:11:08+00:00,toss,삼성전자,6260103.0,3.413803762446734e-32,,0.1,0.1,0.8,특정한 감정 표현보다는 평가적인 내용이 많아 중립 비중이 높음
쫌만 더가주라,2025-03-21 03:31:10+00:00,toss,삼성전자,135301.0,0.2088824143106054,,0.1,0.8,0.1,기대감과 흥분을 나타내는 표현으로 탐욕 비중이 높음
개인이 다팔고 안올라간다고 징징,2024-06-13 00:54:32+00:00,toss,삼성전자,24423099.0,1.7215232232376952e-123,,0.8,0.0,0.2,부정적 언급과 개인 투자자의 불만으로 공포 비중이 높음
다 좋은데 외인들 빠지는게 너무 걸림,2024-11-18 07:29:40+00:00,toss,삼성전자,10748191.0,9.410455123575542e-55,,0.6,0.1,0.3,외인들이 빠진다는 표현으로 인한 부정적 전망으로 공포 비중이 높음
어차피 3시 30분에는 원점으로 돌아오는 매직,2025-03-14 02:07:36+00:00,toss,삼성전자,745115.0,0.0001797369430135,,0.1,0.1,0.8,특정한 감정보다는 시장의 움직임에 대한 관찰적 언급이 주를 이룸
시작가 찍고 다시 6만 2천까지 올리고 다시 5만 8천대 종가 하락으로 개미 영혼 털기 외인 수법이에요,2024-10-14 02:00:28+00:00,toss,삼성전자,13791943.0,4.720839302782648e-70,,0.8,0.05,0.15,하락과 개미 영혼 털기 언급으로 공포 비중이 높음
대국민주 삼전 가자,2024-12-27 05:37:05+00:00,toss,삼성전자,7385346.0,7.536002485621913e-38,,0.0,0.9,0.1,흥분과 공격적 매수 심리를 나타내는 언급으로 탐욕 비중이 높음
